"S.No.","District Code","District Name","District Census 2011 Code","District Census 2001 Code","Subdistrict Code","Subdistrict Name","Subdistrict Census 2011 Code","Subdistrict Census 2001 Code","Village Code","Village Name","Village Census 2011 Code","Village Census 2001 Code","Local Body Code","Local Body Name"
"225","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645256","Gandhi Nagar (Forest Beat)","645256","00001500","234465","Diglipur"
"226","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645252","Ganesh Nagar","645252","00001100","245696","Gandhi Nagar"
"227","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645281","Ganna Dabla (Efa)","645281","00006800","234465","Diglipur"
"228","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645272","Ganna Level (Efa)","645272","00005300","234465","Diglipur"
"229","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645259","Haran Nallaha (Efa)","645259","00002100","234465","Diglipur"
"230","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645286","Hara Tikry (Efa)","645286","00007300","234465","Diglipur"
"231","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645250","Haridas Kattai (Efa)","645250","00000800","234465","Diglipur"
"232","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645278","Hoari Bay (Efa)","645278","00006400","234465","Diglipur"
"233","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645238","Jagannath Dera (Rv)","645238","00005800","234466","Kalighat"
"234","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645237","Kalighat (Rv)","645237","00005700","234466","Kalighat"
"235","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645230","Kalipur (Rv)","645230","00004000","234475","Shibpur"
"236","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645245","Karen Basti (Efa)","645245","00000300","234465","Diglipur"
"237","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645226","Keralapuram (Rv)","645226","00003600","234467","Keralapuram"
