"State Code","State Name (In English)","District Code","District Name (In English)","Development Block Code","Development Block Name (In English)","Village Code","Village Name (In English)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645244","Narcondam Island (Police Post)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645275","Narkul Danga (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645236","Nischintapur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645233","Paranghara (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645261","Paschimsagar (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645276","Pathi Level (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645274","Pemaiahdera (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645279","Pilone Nallaha (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645221","Rabindrapalli (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645257","Radha Nagar (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645213","Radha Nagar (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645283","Rahil (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645224","Ramakrishnagram (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645239","Ramnagar (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645242","Sagar Dweep (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645254","Santi Nagar"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645229","Shibpur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645251","Shyam Nagar"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645212","Shyam Nagar (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645263","Sitanagar, (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645220","Sitanagar (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645288","Smith (Efa)"
